Index	Reagents	Products	Rule
667_0	['C(=O)=O', 'C(CC(C(CO)=O)O)=O']	['C(C(C(C(CC=O)O)=O)O)(O)=O']	Aldol Condensation
667_1	['C(=O)=O', 'C(CC(C(CO)=O)O)=O']	['C(C(C(C(CC=O)O)=O)O)(O)=O']	Knoevenagel H
668_0	['C(=O)=O', 'C(C(CO)(CC=O)O)=O']	['C(C(C=O)C(C=O)(CO)O)(O)=O']	Aldol Condensation
668_1	['C(=O)=O', 'C(C(CO)(CC=O)O)=O']	['C(C(C=O)C(C=O)(CO)O)(O)=O']	Knoevenagel C
669_0	['C(=O)=O', 'C(CCO)=O']	['C(C(C=O)CO)(O)=O']	Aldol Condensation
669_1	['C(=O)=O', 'C(CCO)=O']	['C(C(C=O)CO)(O)=O']	Knoevenagel C
670_0	['C(=O)=O', 'C(C(CCO)=O)(O)=O']	['C(C(C(C(O)=O)=O)CO)(O)=O']	Aldol Condensation
670_1	['C(=O)=O', 'C(C(CCO)=O)(O)=O']	['C(C(C(C(O)=O)=O)CO)(O)=O']	Knoevenagel C
672_0	['C(=O)=O', 'C(CC(C(C)=O)=O)=O']	['C(C(C(O)=O)C(C(C)=O)=O)=O']	Aldol Condensation
672_1	['C(=O)=O', 'C(CC(C(C)=O)=O)=O']	['C(C(C(O)=O)C(C(C)=O)=O)=O']	Knoevenagel C
674_0	['C(=O)=O', 'C(CC(C(C)=O)=O)=O']	['C(CC(C(CC(O)=O)=O)=O)=O']	Aldol Condensation
676_0	['C(=O)=O', 'C(C(CO)=O)(C(C)O)=O']	['C(C(C(C(C(C)O)=O)=O)O)(O)=O']	Aldol Condensation
676_1	['C(=O)=O', 'C(C(CO)=O)(C(C)O)=O']	['C(C(C(C(C(C)O)=O)=O)O)(O)=O']	Knoevenagel H
678_0	['C(=O)=O', 'C(C(C(CO)=O)=O)(O)=O']	['C(C(C(C(C(O)=O)=O)=O)O)(O)=O']	Aldol Condensation
678_1	['C(=O)=O', 'C(C(C(CO)=O)=O)(O)=O']	['C(C(C(C(C(O)=O)=O)=O)O)(O)=O']	Knoevenagel H
680_0	['C(=O)=O', 'C(CO)(CO)=O']	['C(C(C(CO)=O)O)(O)=O']	Aldol Condensation
680_1	['C(=O)=O', 'C(CO)(CO)=O']	['C(C(C(CO)=O)O)(O)=O']	Knoevenagel H
682_0	['C(=O)=O', 'C(C(CO)=O)(O)=O']	['C(C(C(C(O)=O)=O)O)(O)=O']	Aldol Condensation
682_1	['C(=O)=O', 'C(C(CO)=O)(O)=O']	['C(C(C(C(O)=O)=O)O)(O)=O']	Knoevenagel H
684_0	['C(=O)=O', 'C(C(C(C)=O)CO)(O)=O']	['C(C(C(CC(O)=O)=O)CO)(O)=O']	Aldol Condensation
686_0	['C(=O)=O', 'C(CC=C)=O']	['C(C(C(O)=O)C=C)=O']	Aldol Condensation
688_0	['C(=O)=O', 'C=CCC(C(O)=O)=O']	['C(C(C=C)C(C(O)=O)=O)(O)=O']	Aldol Condensation
690_0	['C(=O)=O', 'C(CC(C(O)=O)=C)=O']	['C(C(C(O)=O)C(C(O)=O)=C)=O']	Aldol Condensation
692_0	['C(=O)=O', 'C=C1C(OC(C(C1)=O)=O)=O']	['C(C1C(C(OC(C1=C)=O)=O)=O)(O)=O']	Aldol Condensation
694_0	['C(=O)=O', 'C1(C(OC(C)C1)=O)=O']	['C(C1C(C(OC1C)=O)=O)(O)=O']	Aldol Condensation
694_1	['C(=O)=O', 'C1(C(OC(C)C1)=O)=O']	['C(C1C(C(OC1C)=O)=O)(O)=O']	Knoevenagel C
696_0	['C(=O)=O', 'C1(CC(C(O1)=O)=O)=O']	['C1(C(C(O)=O)C(C(O1)=O)=O)=O']	Aldol Condensation
696_1	['C(=O)=O', 'C1(CC(C(O1)=O)=O)=O']	['C1(C(C(O)=O)C(C(O1)=O)=O)=O']	Knoevenagel C
698_0	['C(CC(C)O)=O', 'C(CCO)=O']	['C(C(C(C)O)C(CCO)O)=O']	Aldol Condensation
698_1	['C(CC(C)O)=O', 'C(CCO)=O']	['C(C(C(C)O)C(CCO)O)=O']	Knoevenagel C
700_0	['C(CC(C)O)=O', 'C(CCO)=O']	['C(C(CO)C(CC(C)O)O)=O']	Aldol Condensation
700_1	['C(CC(C)O)=O', 'C(CCO)=O']	['C(C(CO)C(CC(C)O)O)=O']	Knoevenagel C
702_0	['C(CC(C)O)=O', 'C(C=O)=O']	['C(C(C(C)O)C(C=O)O)=O']	Aldol Condensation
